word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
advisory,әd'vaizәri,n. an announcement that usually advises or warns the public of some threat\ns. giving advice,"a. 顾问的, 咨询的, 劝告的\n[法] 劝告的, 忠告的, 咨询的",,2,,,4233,5108,,,
advocacy,'ædvәkәsi,n. active support of an idea or cause etc.; especially the act of pleading or arguing for something,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术\n[法] 辩护, 拥护, 提倡",,1,,gre,10533,5074,,,
affection,ә'fekʃәn,n. a positive feeling of liking,"n. 影响, 病, 喜爱, 情感, 倾向\n[医] 疾患, 病变, 病; 感情",,2,1,gk cet4 cet6 ky toefl ielts gre,4103,5137,s:affections,,
affiliate,ә'filieit,n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization\nn. a subsidiary or subordinate organization that is affiliated with another organization\nv. join in an affiliation,"vt. 使紧密联系, 使附属, 接纳, 收养\nvi. 发生联系, 参加",,2,,cet6 ky toefl ielts gre,14490,6929,d:affiliated/s:affiliates/i:affiliating/p:affiliated/3:affiliates,,
afloat,ә'flәut,a. borne on the water; floating\ns. covered with water,"a. 飘浮着的, 在海上的, 浸满水的, 在进行中的\nadv. 飘浮着, 在海上, 浸满水, 在进行中",,1,,,13781,11249,,,
African,'æfrikәn,n. a native or inhabitant of Africa\na. of or relating to the nations of Africa or their peoples,"n. 非洲人\na. 非洲的, 非洲人的",,,,gk cet4 ielts,2102,1203,s:africans,,
after,'ɑ:ftә,s. located farther aft\nr. behind or in the rear,"prep. 在...之后, 由于\nconj. 在...之后\nadv. 后来",,5,1,zk gk,96,120,,,
afternoon,'ɑ:ftә'nu:n,n. the part of the day between noon and evening,"n. 午后, 下午",,4,1,zk gk,1118,1191,s:afternoons,,
afterwards,'ɑ:ftәwәdz,r happening at a time subsequent to a reference time,"adv. 然后, 后来",,3,1,,1951,5652,,,
against,ә'geinst,"prep. Abreast; opposite to; facing; towards; as, against the\n   mouth of a river; -- in this sense often preceded by over.\nprep. From an opposite direction so as to strike or come in\n   contact with; in contact with; upon; as, hail beats against the roof.\nprep. In opposition to, whether the opposition is of\n   sentiment or of action; on the other side; counter to; in contrariety\n   to; hence, adverse to; as, against reason; against law; to run a race\n   against time.\nprep. By of before the time that; in preparation for; so as\n   to be ready for the time when.","prep. 反对, 对着, 倚靠",,5,1,zk gk cet4 ky,155,180,,,
agalmatolite,",æ^әl'mætә,lait","n. A soft, compact stone, of a grayish, greenish, or\n   yellowish color, carved into images by the Chinese, and hence called\n   figure stone, and pagodite. It is probably a variety of pinite.","寿山石(冻石), 滑石",,,,,0,0,,,
age,eidʒ,n. how long something has existed\nn. a time of life (usually defined in years) at which some particular qualification or power arises\nv. begin to seem older; get older\nv. make older,"n. 年龄, 老年, 成年, 寿命, 时代, 时期\nv. 变老, 成熟",,5,1,zk gk toefl ielts,363,386,s:ages/d:aged/i:ageing/3:ages/p:aged,,
agenda,ә'dʒendә,n. a temporally organized plan for matters to be attended to\nn. a list of matters to be taken up (as at a meeting),"pl. 议程, 日常工作事项\n[计] 待议事件",,3,,gk ky toefl ielts gre,3026,2130,s:agendas,,
agent,'eidʒәnt,n. an active and efficient cause; capable of producing a certain effect\nn. a representative who acts on behalf of other persons or organizations\nn. a substance that exerts some force or effect\nn. a businessman who buys or sells for another in exchange for a commission,"n. 代理商, 政府代表, 动原, 媒介\n[计] 代理程序",,4,1,gk cet4 ky toefl,1214,1020,s:agents,,
agglomerate,ә'glɒmәreit,n. volcanic rock consisting of large fragments fused together\nv. form into one cluster\ns. clustered together but not coherent,"n. 大团, 大块\na. 成块的, 聚结的\nvt. 使成团, 使成块, 使聚结\nvi. 成团, 成块, 聚结",,,,gre,0,0,s:agglomerates/i:agglomerating/p:agglomerated/3:agglomerates/d:agglomerated,,
aggregate,'ægrigәt,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster\nn. a sum total of many heterogenous things taken together\nv. amount in the aggregate to\nv. gather in a mass, sum, or whole","n. 合计, 总计, 聚集体\na. 合计的, 聚集的\nv. 聚集, 集合, 合计达\n[计] 聚合体; 聚集",,2,,toefl ielts gre,5505,12841,s:aggregates/d:aggregated/i:aggregating/3:aggregates/p:aggregated,,
aggression,ә'greʃәn,n. a disposition to behave aggressively\nn. a feeling of hostility that arouses thoughts of attack\nn. violent action that is hostile and usually unprovoked\nn. the act of initiating hostilities,"n. 侵犯, 侵略\n[医] 攻击",,2,,gk cet6 toefl gre,4772,4521,s:aggressions,,
aggressive,ә'gresiv,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""\ns. tending to spread quickly\ns. characteristic of an enemy or one eager to fight","a. 侵略的, 挑畔的, 进取的\n[法] 侵略的, 爱挑衅的, 行为过火的",,3,1,gk cet4 cet6 ky toefl ielts gre,3648,2514,,,
aggressively,,r. in an aggressive manner,"adv. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆",,,,,11173,6227,,,
aggressiveness,,n. the quality of being bold and enterprising\nn. a natural disposition to be hostile,"n. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆",,,,toefl,21970,15115,,,
agitate,'ædʒiteit,"v. try to stir up public opinion\nv. cause to be agitated, excited, or roused\nv. change the arrangement or position of","vt. 使摇动, 搅动, 使激动, 使不安\nvi. 鼓动, 煽动",,1,,ky toefl gre,13895,12134,d:agitated/i:agitating/p:agitated/3:agitates,,
ago,ә'gәu,s. gone by; or in the past\nr. in the past,adv. 以前,,5,1,zk gk,504,316,,,
agree,ә'gri:,"v. be in accord; be in agreement\nv. consent or assent to a condition, or agree to do something\nv. show grammatical agreement\nv. be agreeable or suitable","vi. 同意, 赞成, 应允, 适合\nvt. 承认, 认定, 同意",,5,1,zk gk,401,514,d:agreed/p:agreed/3:agrees/i:agreeing,,
agreement,ә'gri:mәnt,n. the statement (oral or written) of an exchange of promises\nn. compatibility of observations\nn. harmony of people's opinions or actions or characters\nn. the thing arranged or agreed to,"n. 同意, 合约, 协议\n[经] 契约, 协议, 协定",,4,1,zk gk ielts,623,1059,s:agreements,,
agricultural,.ægri'kʌltʃәrәl,a. relating to or used in or promoting agriculture or farming,"a. 农业的\n[法] 农业的, 耕作的",,3,,gk,2188,3104,,,
agriculture,'ægrikʌltʃә,n. the class of people engaged in growing food,"n. 农业\n[机] 农业, 农学",,3,,gk cet4 cet6 ky toefl ielts,2274,4165,,,
ah,ɑ:,"interj. An exclamation, expressive of surprise, pity, complaint,\n   entreaty, contempt, threatening, delight, triumph, etc., according to\n   the manner of utterance.","interj. 啊, 哈",,,,,1012,3256,s:ahs,,
ahead,ә'hed,s. having the leading position or higher score in a contest\nr. at or in the front\nr. toward the future; forward in time\nr. in a forward direction,"a. 领先的, 预先的, 向前的\nadv. 领先, 预先, 向前, 胜于, 在前面, 在将来",,4,1,gk,1504,1025,,,
ahs,,"plural of ah\ninterj. An exclamation, expressive of surprise, pity, complaint,\n   entreaty, contempt, threatening, delight, triumph, etc., according to\n   the manner of utterance.","(ah 的复数) interj. 啊, 哈",,,,,0,0,0:ah/1:s,,
AI,ai,n an agency of the United States Army responsible for providing timely and relevant and accurate and synchronized intelligence to tactical and operational and strategic level commanders\nn the branch of computer science that deal with writing computer programs that can solve problems creatively\nn a sloth that has three long claws on each forefoot and each hindfoot\nn the introduction of semen into the oviduct or uterus by some means other than sexual intercourse,"[计] 附加信息, 人工智能\n[化] 人工智能",,,,,2413,0,s:ais,,
aid,eid,n. a resource\nn. the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose\nn. money to support a worthy person or cause,"n. 帮助, 外援, 助手\nvt. 援助, 帮助, 有助于\nvi. 帮助\n[计] 自动内部诊断",,5,1,gk cet4 cet6 ky,1096,1640,s:aids/d:aided/i:aiding/p:aided/3:aids,,
AIDS,eidz,n. a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles,"n. 爱滋病(获得性免疫缺陷综合征)\n[计] 高级综合数据系统, 先进交互调试系统, 自动图解文档编制系统\n美国决策学学会, 信息自动显示系统, 自动综合调试系统",,4,,gk ielts,3757,1793,0:aid/1:s3,,
ailently,,,"adv. 静止, 不参加具体经营, 不活动, 无声, 无对话, 不发音, 无症状",,,,,0,0,,,
aim,eim,"n. the goal intended to be attained (and which is believed to be attainable)\nn. the action of directing something at an object\nv. point or cause to go (blows, weapons, or objects such as photographic equipment) towards\nv. propose or intend","n. 目标, 瞄准, 击中目标的能力\nvi. 对准目标, 致力, 打算\nvt. 瞄准\n[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块\n应用接口模块, 医学人工智能, 相联索引法, 异步接口模块\n自动化信息管理, 自动化综合制造, 自动化库存管理",,4,1,gk cet4 cet6 ky toefl ielts,1261,1931,s:aims/3:aims/p:aimed/d:aimed/i:aiming,,
AIMS,,"n an anticipated outcome that is intended or that guides your planned actions\nn the goal intended to be attained (and which is believed to be attainable)\nn the action of directing something at an object\nn the direction or path along which something moves or along which it lies\nv point or cause to go (blows, weapons, or objects such as photographic equipment) towards\nv propose or intend\nv move into a desired direction of discourse\nv specifically design a product, event, or activity for a certain public\nv intend (something) to move towards a certain goal\nv direct (a remark) toward an intended goal\nv have an ambitious plan or a lofty goal","[计] 交互迁移系统体系结构, 自动自适应库存管理系统\n             自动化工业管理系统, 自动化信息管理系统",,,,,0,0,0:aim/1:s3,,
air,єә,n. a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of\nn. the region above the ground\nn. a distinctive but intangible quality surrounding a person or thing\nn. once thought to be one of four elements composing the universe (Empedocles),"n. 空气, 旋律, 态度\nvt. 晾, 使通风, 夸耀",,5,1,zk gk toefl ielts,527,370,d:aired/s:airs/i:airing/p:aired/3:airs,,
air vessel,," A vessel, cell, duct, or tube containing or conducting\n   air; as the air vessels of insects, birds, plants, etc.; the air vessel\n   of a pump, engine, etc. For the latter, see Air chamber. The air\n   vessels of insects are called tracheae, of plants spiral vessels.",[化] 空气罐,,,,,0,0,,,
aircraft,'єәkræft,n. a vehicle that can fly,"n. 航空器, 飞机\n[机] 航空器",,4,1,gk cet4 ky toefl,1538,2803,,,
airplane,'єәplein,n. an aircraft that has a fixed wing and is powered by propellers or jets,n. 飞机\n[机] 飞机,,2,,zk gk cet4,21702,3519,s:airplanes,,
airport,'єәpɒ:t,n. an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo,"n. 飞机场\n[机] 航空站, 机场",,4,1,zk gk ielts,2541,1765,s:airports,,
airy,'єәri,s. not practical or realizable; speculative\ns. having little or no perceptible weight; so light as to resemble air,"a. 空气的, 空中的, 通风的, 幻想的, 轻快的",,1,,,11855,10632,r:airier,,
alarm,ә'lɑ:m,n. fear resulting from the awareness of danger\nn. a device that signals the occurrence of some undesirable event\nn. an automatic signal (usually a sound) warning of danger\nv. warn or arouse to a sense of danger or call to a state of preparedness,"n. 惊恐, 警报, 警钟\nvt. 使惊恐, 警告\n[计] 报警信号",,3,1,gk cet4 ky toefl ielts,3004,3693,s:alarms/d:alarmed/p:alarmed/i:alarming/3:alarms,,
albeit,ɔ:l'bi:it,conj. Even though; although; notwithstanding.,"conj. 尽管, 虽然",,2,,gre,4587,6086,,,
album,'ælbәm,n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc\nn. a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc,"n. 粘贴簿, 唱片套\n[医] 白色物",,4,,gk cet6 ky ielts,2991,2215,s:albums,,
alcohol,'ælkәhɒl,n. a liquor or brew containing alcohol as the active agent\nn. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation,"n. 酒精, 酒\n[化] 醇; 乙醇; 酒精",,3,1,gk cet4 ky,2654,2191,s:alcohols,,
alert,ә'lә:t,n. condition of heightened watchfulness or preparation for action\nn. a warning serves to make you more alert to danger\na. engaged in or accustomed to close observation\ns. quick and energetic,"a. 警觉的, 灵敏的, 留心的\nn. 警报\nvt. 使警觉, 通知, 使意识到",,3,,cet4 cet6 ky toefl gre,4966,5318,d:alerted/p:alerted/i:alerting/3:alerts/s:alerts,,
alexander,",æli^'zɑ:ndә",n. European herb somewhat resembling celery widely naturalized in Britain coastal regions and often cultivated as a potherb\nn. king of Macedon; conqueror of Greece and Egypt and Persia; founder of Alexandria (356-323 BC),n. 亚历山大（男子名）,,,,,2971,0,,,
algaroba,,"n. The Carob, a leguminous tree of the Mediterranean region;\n   also, its edible beans or pods, called St. John's bread.\nn. The Honey mesquite (Prosopis juliflora), a small tree\n   found from California to Buenos Ayres; also, its sweet, pulpy pods. A\n   valuable gum, resembling gum arabic, is collected from the tree in\n   Texas and Mexico.","[医] 长角豆, 智利豆胶树, 密豆树, 短叶云实",,,,,0,0,,,
alienate,'eiljәneit,v. make withdrawn or isolated or emotionally dissociated,"vt. 使疏远, 离间, 转让\n[法] 转让, 让与, 疏远",,2,,toefl ielts gre,8590,8136,d:alienated/p:alienated/i:alienating/3:alienates,,
align,ә'lain,v. place in a line or arrange so as to be parallel or straight\nv. be or come into adjustment with\nv. align oneself with a group or a way of thinking\nv. bring (components or parts) into proper or desirable coordination correlation,"vi. 排列, 排成一行, 结盟\nvt. 使结盟, 使成一行, 校正",,2,,gre,7857,5939,d:aligned/p:aligned/i:aligning/3:aligns,,
